user,playtime,post_date,helpfulness,review_text,recommend,early_access_review
Wandering Cavalry,74.1,"September 13, 2024",380,"For a long time, whenever talking about China's game industry, it seems that countless players have sighed and lamented. Though its market value is tremendous and cannot be underestimated, the entire industry is almost supported by online and mobile games, and there are few achievements in AAA single-player games. In this context, August 20, 2024, would definitely be an unforgettable day for Chinese gamers. The future of Chinese single-player games, Black Myth: Wukong, has officially been released. On its first day, it has already reached a stunning 2.2 million players, and as of today, its total sales have reached 18 million copies, not only did it set a new first-week sales record among its genre, but also became the single-player game with the highest peak player count on steam. As the Chinese saying goes, 'A big tree attracts the wind'. While Black Myth: Wukong has won a large number of fans, it has also faced widespread questions and criticism. Can the quality of this game live up to such outstanding sales and an incredible number of players?Overall, Black Myth: Wukong is a work whose merits outweigh its flaws. Though its strengths and weaknesses are clear, we cannot dismiss it completely because of this. Games featuring traditional Chinese landscapes, realistic cultural scenes such as Buddha statues and temples, and Chinese Taoist Mythology are rare nowadays. Powered by Unreal Engine 5, this game showcases a level of visual refinement and scene interactivity that is beyond the reach of most previous AAA titles, the realistic and delicate scene interaction brings players an immersive gaming experience, and the stunning art is enough to allow players to indulge in this gorgeous world where every screenshot feels like wallpaper. Huge game worlds, rich game content, and a wide variety of enemies are ahead for players to explore, the game and combat in each chapter are unique and thrilling, the amazing music adds an immersive atmosphere to it, too. The movie-quality cutscenes are of extremely high standards in terms of camera movement and performance effects. The ending animations of each chapter, which are in different styles, are well-made and profound in connotation. Though the plot narrative technique is rather obscure and difficult to grasp, the in-game journal fully supplements the worldview, characters, and background in the form of fables or stories. Reading thoroughly will allow you to unravel the plot's complex themes. Countless talents and a wide range of spells for players to freely choose from, thus evolving into numerous genres of gameplay. The game's transformation mechanism is a major feature, combined with the character's flexible body movements and gorgeous battle performance effects, Black Myth: Wukong remains consistently entertaining and engaging in each battle. The final boss and the final hidden boss battles have put a lot of effort into the design of the mechanism, the battle scene, and the artistic conception conveyed. The upgradable that can freely reset and no death penalty have all greatly optimized the player's gaming experience, most players will not find the game overly difficult to complete.Whether in good or bad ways, this game draws heavily on the design of many souls-like games. Even though the plot of Black Myth: Wukong is extremely profound, the overly fragmented storytelling hinders player comprehension. The plot based on the conclusion of the Journey to the West, is very familiar to Chinese players, however, the lack of clear cause-and-effect explanations will likely confuse many others. The journal also contains a vast amount of text, not all players may have the patience to finish it, let alone delve into the original Journey to the West. While the Chinese voice acting is excellent, the English voice acting feels a little lackluster, and misplaced and missing subtitles also show that Black Myth: Wukong still needs to improve in terms of localization. The developer may aim to encourage players to get rid of guides and explore on their own, but in a vast world with interconnected routes, extremely low scene recognition, and high similarity, without route guides and in-game maps, it is very easy to lose your sense of direction when actually playing. The frequent appearance of invisible walls since the third chapter makes it even more difficult for players to judge the true boundaries of the map. Player would find it hard to experience the complete game content without a guide. The numerous skills and transformations vary significantly in strength, the character's fragile ability to withstand attacks also makes the game have relatively high requirements on the player's reaction ability and operational tolerance. The optimization of Black Myth: Wukong is extremely poor, with problems such as long loading time, frame drops, and crashes often occurring. In terms of the lighting transition between light and dark scenes, and the lighting effects in dark scenes, Black Myth: Wukong also performs extremely poorly. The design of the large bosses in the game, such as Captain wise-voice and The duskveil is problematic, the battle experience is frustrating. The design of the probability of dropping some collectibles is even worse, and compared to the earliest gameplay trailer, the officially released version has cut too much content. Even in the existing chapters, many story elements feel abrupt and lack depth, leaving too many gaps. Although the fifth and sixth chapters are also quite good, they are inferior to the previous chapters, and signs of development rush are extremely obvious. In a market lacking AAA titles, Game Science has made unremitting efforts and delivered Black Myth: Wukong in 4 years, which is no small feat. Whether through its unique, realistic, and excellent art, or its satisfying and exhilarating comfort, it will definitely make you indulge in it. If you take the time and savor it quietly, you will definitely be shocked and leave endless aftertaste. It should be noted that no matter how good a game is, it will eventually have its audience, and this is especially true for Black Myth: Wukong as an action role-playing game. As the saying goes, 'seeing is believing.' if you can accept the shortcomings mentioned above, you still need to experience it for yourself to understand its mystery. In the end, Black Myth: Wukong still benefits the vast majority of players on three major levels: in terms of game aesthetics, its success stands in stark contrast to the dismal ending of Concord, which implements political correctness and diversified aesthetics, and will inevitably sound the alarm for the art design of future games; in terms of the game engine, Black Myth: Wukong further demonstrates the massive potential of the Unreal 5 engine, more developers will likely turn to it for game development, which will surely bring games with more stunning visual effects and improved optimization in the future; in the Chinese game industry, the huge success of Black Myth: Wukong has overturned the previous monopoly of online games and mobile games in the market. The potential of single-player games will inevitably drive more Chinese developers to invest in it. Even if you discover that this game isn't to your liking, its popularity will surely bear fruit in the future and will be beneficial to the entire gaming industry.",True,
King Bradley,104.7,"September 27, 2024",348,"This game is based on the novel Journey to the West. Sun Wukong is the main protagonist of that journey, and I would advise watching some summary before playing the game, to understand how insane he is and what he did. He was also an inspiration for Goku. I didn't tag this game as Souls-like because I don't think it is. When you die, you don't lose ""souls"". Lore is way more detailed and not as hidden as in Souls games where you need to read item descriptions and listen to NPCs. Here most of the lore is found by just killing new enemies which unlock new entry in the journal. There are no stats like strength, dexterity etc. instead you have skill trees with so many things to upgrade. Also if you explore everything this game will be easier than Souls games most of the time. Black Myth: Wukong is the game on its own, the epic game for itself.The first thing you can notice when you start this game is that in only a few seconds you are greeted by some colossal beings. I was amazed as soon as the game started, and the prologue itself is absolutely incredible. Slight spoiler, but in prologue you play as Sun Wukong, and after that game is divided into 6 chapters, where you are playing as Destined One years later trying to ""wake up"" Sun Wukong. Every time you kill a new enemy you will get some journal entry, which is a short story which has references to the Chinese folklore or Journey to the West, and reading these stories is necessary to understand the story. Sometimes I had to google, because the names were not explained. These stories are also usually very interesting, but there are so many of them so I would advise on reading them as soon as you get them, cause they can pile up. There are around 200 in total and some of them are connected where story continues from one entry to another.The story itself is pretty interesting, and there are a lot of amazing cutscenes. Each of the first 5 chapters features a new story set in some new world. Each of these chapters has some main ""villain"" that you need to beat to get the rune.When I first started playing this game, after overwhelming prologue, chapter 1 felt a bit rushed and kinda underwhelming, because if you don't read those journal entries the whole chapter will feel like the boss rush, but after some time I started liking it. Chapter 2 is definitely way bigger and opens way more, however it's a big desert, so it can get tiring. Chapter 3 is where things got very interesting and very confusing, because it is so big, and it branches so much. At first it felt okay, but then I reached a big forest with snow everywhere, and everything looked similar, you could go anywhere, like in 15 directions. Thankfully with those journal entries you can see if you missed something. And when I was done with this forest there was some temple area, which as well was really really big, and had so much going on, that the whole chapter was very confusing, even though it was very interesting story-wise. It is also the longest chapter in the game. Chapter 4 is also very long and it is probably one of the best when it comes to story, but it is a bit gloomy. Chapter 5 was kinda short, and it was mostly fighting bosses, but it was as well a pretty interesting chapter with interesting story line. Chapter 6 is very different from all other chapters, you are just going around and searching for some bosses, trying to find some items before fighting the final boss.The first 5 chapters also feature secret areas which I would advise beating, since most of the time they will make the end boss of the chapter much easier with some new item that you got, and they are also very interesting. The game also features 2 endings, and to get true ending you will need to beat all these secret areas.Throughout the game there are so many bosses and mini-bosses to beat, I think I have beaten over 100 of them, but I definitely beat them all since I got all journal entries in the game. Most of these bosses took me few tries most, and a lot of them can actually be considered mini-bosses, and those mini-bosses sometimes leave spirits which you can collect and summon later while fighting. It can be a bit overwhelming to fight bosses all the time, but eventually I got used to it, and since I mostly beat them all on first or second try, it felt like fighting regular enemies eventually. The problem with fighting so many bosses is that rarely any boss will be memorable. If you explore everything and you are ""good"" at Souls games you will not have problems with this game. Only one boss in this game which is necessary to beat to get true ending took me a lot of tries, I think I needed a few hours. Boss is so epic and hard, and in my personal experience it's 2nd hardest boss from all bosses I've ever fought including all Souls games.Combat is just incredible, it's so fun, one of the best I have seen. Destined One is wielding staff so fast, and he is so fast that you can just dodge anything and you need to dodge all the time. You also need to make the best use of spells that you get through the game. One spell will let you freeze the enemy for few seconds. One spell will make duplicates of you for few seconds which help you fight. I mentioned already that you will be able to call spirits, and you will also be able to transform. Transformations regenerate over time, as well as spirits (when you fight you get KI which regenerates spirits), but spells cost mana, and until you rest again at shrine you will not get mana back, so prepare to become good with your staff. Overall combat is just amazing, incredibly fun.In addition to combat, there are shrines on which you can rest, fast travel etc., and while fighting you earn skill points which you can use to upgrade your abilities. You can also restart these abilities at any point on any shrine. You can travel from chapter to chapter at any point in the story. You can also craft armor and staff that you get from fighting bosses, and use some items to help you make game easier.Game took me around ~65h to beat all bosses, get all journal entries and get most of the achievements. You can't get all achievements in the first run, so you must play ng+ for the rest of them, however ng+ is pretty easy. Only problem is that some achievements require farming. There aren't many NPCs side quests, but there a lot of characters. Performance wise a lot of people complain, and I also had issues which I fixed by using FSR instead of DLSS and frame generation on. I managed to get my game running completelly smooth, stutter free, but I had insane stutter at first.- One of the best openings in the games I've ever seen- Incredibly fun combat- Journal entries are so interesting- Cutscenes are amazing- Most bosses are unique, and there are many good bosses- Pretty good story and everything about Sun Wukong is so interesting- Chapter 3 can be a bit confusing to explore, it can feel like it's easy to miss stuff, but on the other hand chapter itself is really interesting- Chapter 6 introduces new ability, but it also feels so random, just searching for bosses- Having to search the internet for explanation of some characters that are not in the game Just an incredible game, my personal GOTY of the 2024 so far, and of the best and most fun games I've ever played. I liked it so much that I ordered The Journey to the West books. This is definitely one of my new favorite games, and I felt so overwhelmed when I finished it. I would advise getting true ending, cause it's worth it. If chapters 3 and 6 had a bit better design I would consider this game a masterpiece, but it's really close.",True,
DawnAnvil,82.5,"August 19, 2024",333,"Best graphics I've ever played in a game with rtx 4090, also the story is great if you read or watch the TV show of Journey to the West beforehand.",True,
' Æsir,83.6,"September 4, 2024",306,"Black Myth: Wukong was released under a lot of anticipation after gameplay showcases had been shown over the past few years, leading people to even question if the game would really come out like that. Thankfully, it really did – and overcame all expectations. The game is engaging, well made, fluid, has a fair dose of difficulty, is downright beautiful and is worth every penny and time you put into it.I honestly find it hard to catch up with the story – at least without any knowledge on the classical Chinese novel The Journey To The West, where the developers have taken inspiration from. Still, that doesn’t mean you can’t enjoy the game, especially during a second playthrough.The game isn’t the classical novel itself, but inspired by it. It’s set after Sun Wukong’s disappearance/death after his fight against the Celestial Court – event that serves as a prologue. You play as a monkey warrior referred to as The Destined One, who journeys through the land to recover Sun Wukong’s six relics, which were scattered across the land, in order to try to bring the famous monkey back to life.It feels amazing! Black Myth: Wukong is a third person game that you can label under the soulslike banner. However, that doesn’t mean it has an excruciating difficulty. It’s more of a friendly soulslike with some elements of hack and slash – enemies are usually difficult, bosses are challenging, but you won’t lose anything if you die. It might take you some time to beat some bosses, but you eventually end up succeeding. The more you venture into the game, the better you get because you are earned more resources to fight, as well as you get naturally better at playing it. There practically aren’t hordes of enemies like in a hack and slash game, so you won’t be swarmed.A magical iron staff is your main weapon, but there are also magical skills, transformations, three difference stances, potions to temporarily enhance your abilities and a skill tree to spend your points on according to your playstyle. There won’t be enough points (sparks) to buy all abilities, so be wise and understand what your playstyle is and don’t waste sparks on things you don’t use – although it’s possible to reattribute them.Among the things that make this game appealing is the fluid combat. It’s not sluggish, floaty and clunky as most soulslike games. The movements are beautiful and fast-paced, satisfying to perform. And the bosses hardly ever have the same movements. They are pretty much all unique, which adds to the game. So you don’t feel you are facing a repetition of a previous boss under new skin, except for the elemental frogs.Black Myth: Wukong is a ‘new’ generation game like no other. It features the best and most advanced technologies out there, and applies them very well. It’s not a poorly optimized game – it indeed is a heavy one. But even if you lower the presets, you are still going to have a beautiful game.The game doesn’t survive on good graphics alone. I could say it’s absolutely one of the most beautiful games I’ve ever played. The details in the scenarios, the architecture, the clothes, the weapons, with all the rich Chinese ornamentations… how well detailed the enemies are when it comes to appearance, movements, attacks… how varied everything is… You can spend a lot of time just gazing at details, which contributes a lot to your immersion. Well, I could spend all day long listing how incredible the details are. Game Science didn’t have any laziness.Of course, there are flaws. The game is so incredible to the point that the flaws aren’t a deal breaker, but they’re so silly they shouldn’t be there.The most alarming of all are the invisible walls. Wukong is full of them, even at unnecessary places! We’re not talking about a totally linear game – there are areas of (semi) open world. It means there shouldn’t be invisible walls, even inside monk temples where you could walk to the temple wall. But you can’t because there’s another invisible wall before it. When it happens, it breaks the immersion a little bit.Another grave one is the simply terrible lip sync. That disturbs our enjoyment a lot if we pay attention to it rather than notice other graphical elements. That's why I stopped looking at their mouths and began admiring the rest. They haven't used any AI to lip sync with English, so the English voiceover doesn't match the Chinese lip movements. Embarrassing.Also, some lighting issues sometimes occur. When you walk into a new area, for instance, you may experience light sources changing, just popping from dark to clear sunlight all of a sudden, like inside some caves or other places in the desert.I’ve also experienced enemies, NPCs and other elements popping in front of me in the scenarios, less frequently though. Maybe it could have been due to hours of session straight.At least three or four times, I was forced to close the game and rerun it after some lags and huge fps drops – also after long hours of gameplay straight. You see, I got 32GB RAM, but maybe the game uses it so much that the memories are unable to erase unnecessary information. But, rerunning the game always fixed it.It’s not any game that has some flaws yet its strengths eclipse them. The flaws don’t ruin your experience, and you definitely should play this game. Wukong is one of those games you can’t miss and will make you have an unforgettable experience.Black Myth: Wukong is not groundbreaking, it doesn’t reinvent the wheel, but proves that if devs really want to create a game with competence and passion – and above all, a game that is supposed to be what it is: a videogame! –, they deliver wonderful experiences.The price tag is fair for such a masterpiece. You don’t need to wait for sales. Grab it!",True,
V I R A L,41.2,"August 19, 2024",291,Reject DEI ❌Embrace Monke ✅,True,
♪  SAM,37.2,"October 18, 2024",290,"Story, gameplay, music, graphics... just awesome! Didin't expect to see such a good game these days anymore.  I love it. Truly a masterpiece!",True,
HMS_Hamster,81.8,"September 4, 2024",289,"I was hooked after just 5 seconds of playing the game, absolutely amazing game!☑ You forget what reality is☐ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't☑ Eargasm☐ Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf☑ Kids☑ Teens☑ Adults☑ Grandma☐ Check if you can run paint☐ Potato☑ Decent☐ Fast☐ Rich boi☐ Ask NASA if they have a spare computer☐ Floppy Disk☐ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data☐ Just press 'W'☐ Easy☑ Easy to learn / Hard to master☐ Significant brain usage☐ Difficult☐ Dark Souls☐ Nothing to grind☐ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☑ Average grind level☐ Too much grind☐ You'll need a second life for grinding☐ No Story☐ Some lore☐ Average☐ Good☑ Lovely☐ It'll replace your life☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money☑ Never heard of☐ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10",True,
Zhan,64.7,"August 22, 2024",283,"Game really lives up to the hype. Stunning graphics and smooth combat. Skill tree resets are free and you keep everything after death, so you’re free to experiment with builds. Took a risk and played it on steam deck with default settings, and was surprised it works for the most part. Saw a bit of lag after respawning 10+ times in the same area, which was fixed after a restart of the game, but 0 crashes so far (I’m 2 bosses in currently).",True,
Frank,27.1,"August 24, 2024",280,"Its been a while since i have played a game so good, the developers must be chads on steroids, from the very start of the game you feel 100% invested. all the gameplay, graphics, world design are top notch, i cant believe i'm recommending my friends to play as a Chinese monkey. This game is mandatory.",True,
Fabio,80.8,"August 19, 2024",272,Lacking in inclusivity and diversity. Just as expected. 10/10 GOTY,True,
kopi,64.8,"August 22, 2024",261,"It's not a souls-game they say - me on my  30+ try on the 1st optional boss in the 1st area.while the game is punishing it never felt that it is unfair.World is Great, combat is solid and story is engaging. It is a game where the devs focused on the cores that what makes a good game.",True,
su1s,74.1,"August 19, 2024",247,"At first, I thought this game was gonna be another Souls-like, but after playing and getting my first death, I didn’t lose any XP or anything—it all stayed with me. Feels more like a Chinese version of God of War (because of the mythology) mixed with DMC, with all the skills and stuff. Yeah, this game’s got that PlayStation vibe. After waiting 4 years for this, I gotta say, I’m not disappointed. But, the optimization could’ve been better, especially with the cinematic graphics setting. Other than that, it’s solid—I didn’t get any stutters or crashes, and the game runs super smooth on very high settings.",True,
SoulSteppe,106.7,"August 19, 2024",237,"Black Myth Wukong has made its Journey to the West.Destined Ones! Come hear my wisdom in my review of the wonderful game Black Myth Wukong!Black Myth Wukong is a legendary game by the Chinese studio Game Science. It is a game you should buy and experience at least once in your gaming career. You the player watch as the namesake Wukong gets up from his respite and fight Erlang, a boss sent to punish Wukong. Erlang uses a spell that causes a headache for Wukong, for whom he is defeated. As a result, the main character is another monkey who wields a staff so he can find the necessary items to resurrect Wukong from his frozen place, so he can be whole again. The story line establishes it self quite nicely. The Destined One label affixes itself to a monkey set out to find each of the 6 relics so that 6 senses can be employed to resurrect the legendary Sun Wukong. I have noticed a bunch of things that made my experience amazing. Environment and graphics are amazing. Clearly, much effort went into the creation of the environment that they look realistic and borderline uncanny valley in a good way; it is as if real like was digitized and made digital, with blades of grass looking amazing. Each environment draws me in the places that I spent a lot of time wanting to explore and relax there. I love it so so much and I spent so much time everywhere. It is like the gold standard of how to do things. A+. The wonders of Unreal Engine is exemplified through this game in the environments. I really liked how pretty the first level was with the shrines, grass, water and how well done it was. The original soundtrack proves its worth in a game such as this game, and worth a long listen. Most are instrumental in nature but well crafted for each moment. Each setting is well done and fully engrosses me into the moment so much so that I am not distracted. Piano, classical instruments, all so darn good. Chinese cultural instruments at work. The theme song Celestial Symphony, which is based on the theme song of the 1986 television series Journey to the West, which itself has been viewed by plenty of people in China, me included. I wanted to mention the character design are solidly well done. From characters such as the Sisters, to the individual secondary one that appear and to the random Yaoguai that appear, they are wonderfully done to the point where, it is amazing and not distracting. Tiger Vanguard is one. The Sisters are the best done in game. Two women worked in conjunction with one serving as the motion capture, and face model, and another as the voice. All are beautiful and Second Sister especially the looker.  The individual who brought Erlang to life is a great example of how well do to stuff. Looks polished and well done.Combat feels great, smooth, and addicting to engage. A variety of weapons avail themselves to the Destined One, and spells, and spirits. The Destined Ones can transform into various forms so that they can deal with enemies quite efficiently. One form can be used for one type of enemy and another for a separate type of enemy.The stances are the exemplary ones. There are quite a few versatile stuff that can be used. For example, I mostly used an aggressive combat heavy style that focused on damage dealing, which were efficient with assaulting yaoguai. Then there were defensive ones and agile ones that were useful for the Chiefs that were useful for bosses. I feel that if I didn’t use some of them, I would have died already. The combat system is the massive stand out aspect. Truly a masterpiece. I also liked the way that that shrines were used as a method of saving, resting, and a point of convenience. Every time I got it one, it was a nice marker on the map where it auto saved for me. Additionally, I can use a spell to teleport back to that point, so I can rest, prayer, and readjust stuff to continue on. It is also useful to get around the map to get through some of the objectives. This fast travel proves it self so convenient and I love it. A few things I noticed that could need massive improvement. First Minimap-A minimap needs to exist in game. When I’m playing, I want to know where on the map, and where to go. On some maps, it feels like a clue is needed to know where to go, but ends up going in circles or somewhere else unintended, and thus lost. Therefore, a minimap could make game life a bit easierSecond - Invisible WallsThe so-called “invisible walls”, that is, natural environment that are built so well that seem like it is part of the actual game boundaries of the world in-game, since it is built it is built so well that it blends in. A few times, I would walk somewhere, thinking it can be traversed, but cannot be done so. My argument goes back to the mention of a minimap earlier; the presence of one can help with the constant boundary crashes.Comments about the game in general. The game is based on Journey to the West, albeit an inspiration with the setting and characters based on it. I read the book years ago, and re-read it as a refresher recently. It was a great read with loads of fantasy. I read the book and found lots of good things in the game that were borrowed directly from the book. Like Erlang, the Celestial court, and the Tiger Vanguard. The spiders and supposed husband. Those characters are done well. I love it. Another interesting about the game are the music videos. After each chapter, there is a music video that plays at the end, and is accessible on the title screen. Each has some relation, if at all, to the plot of the chapter, and they tell a sentimental story of love, or change. Quite beautiful in telling. One thing that needs to change are English subtitles so that literally everyone can understand them, so it is not locked behind a particular language. Despite that, it is a neat thing to have in the game, and a bonus that really enhances the game so much. Black Myth Sequels. One thing that stuck out to me was the name. The Primary name Black Myth with subtitle “Wukong” feels like it could be room for more content under the name. It could be more stories with another monkey or stories that can be enriched afterwards, which I don’t doubt. I have some ideas but probably not come to fruition. Instead lets keep an eye out for it later on. Overall, it has come to my judgment on whether to recommend or not. In SummaryThis game is my personal game of the Year, no doubt. No other game released in 2024 comes close to this majesty of a game. It’s grandeur and splendor has captivated my attention for the better of 80+ hours, and it has sent me on a trip with my time.I recommend this game to anyone who wants to play a fantastic action game. I’m am glad that the game has made its Journey to the West.",True,
arise! said the universe,57.4,"October 6, 2024",236,"Imagine coming home after a long 9-to-5, ready to unwind, and Steam download of this game is finished. You said, ""I’ve never played a Souls-like game before—how hard can it be? It can't be that bad, right?""Wrong.This game delivers a masterclass in getting your ass whooped. Expect zero handholding—no map, no mission tracker, and constant threat of getting ganged up by random yaoguais. And just when you think you're getting the hang of it, you find out that farming licorice can randomly drop… a goat skull. Yeah, wrap your head around that one.It's like dating a dominatrix. It's stunning—seriously, the visuals are gorgeous—but it’s going to torment you.Despite being a first-timer in this genre, getting wrecked repeatedly, I found myself oddly committed—to the challenge, to its captivating lore, to the game itself. I laughed, I cried, I raged, and I teetered on the brink of uninstalling this game more times than I can count.But after countless gruelling hours, unlocking the secret ending, rerunning New Game+, I finally got that Final Fulfillment achievement. Now, at long last, I can uninstall this tormenting masterpiece with peace...",True,
♡ Helena Meow ♡,21.6,"August 20, 2024",194,REJECT MODERNITYRETURN TO MONKE,True,
Joonas,42.7,"October 29, 2024",189,---{ Graphics }---☑ You forget what reality is☐ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☑ Eargasm☐ Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Teens☑ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☑ Fast☐ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☐ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☐ Easy to learn / Hard to master☐ Significant brain usage☐ Difficult☑ Dark Souls---{ Grind }---☑ Nothing to grind☐ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☐ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☐ Average☐ Good☑ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☑ Never heard of☐ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10,True,
Spactren,5.8,"August 21, 2024",181,For every like I'll add another monke🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒🐒,True,
AlphaKagami,123.1,"October 10, 2024",180,---{ Graphics }---☑ You forget what reality is☐ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☐ Eargasm☑ Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Teens☑ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☐ Fast☑ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☐ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☐ Easy to learn / Hard to master☐ Significant brain usage☐ Difficult☑ Dark Souls---{ Grind }---☐ Nothing to grind☐ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☑ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☐ Average☐ Good☑ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☑ Average☐ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☐ Never heard of☑ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10---{ Author }---☑,True,
Funbugalow,77.5,"August 20, 2024",176,"As I face the reality of my terminal illness diagnosis, This game has become a rare light in my life. Growing up I found comfort in the unforgiving challenge and beauty of soulslike games, and now, in what may be my final months, this game has given me a chance to reconnect with that comfort one last time.The developers have created a visually stunning and mechanically precise action RPG that offers both the challenge and the sense of achievement that we crave. The intricate combat, alongside the visually striking environments, makes every moment memorable. It’s given me something to look forward to, allowing me to lose myself in its rich world when I need it most.If you're a fan of soulslike games and appreciate the art of a well crafted challenge, I can't recommend Black Myth: Wukong enough. To me, it's not just a game: it's a gift, providing a final sense of purpose and achievement. My deepest gratitude goes to the developers for creating this masterclass.",True,
Tren God Trent,54.4,"October 24, 2024",174,"This game in my opinion should be game of the year. Healing can be a bit unresponsive as it does not delay the input if you get knocked down and try to take a quick swig while getting back up but once you get past that it's a really amazing game. Great story and a world inspired by Chinese mythology and The Journey to the West. I really liked the perfect dodge system and the ability to change my build at any resting point to really let me try everything out. I fought every boss, meditated in every location, and met all the characters for the journal and I enjoyed the entire experience. Baije was amazing and really added a lot to the Destined One's journey; I think his last few lines of dialogue in the game was my favorite part. It is not as challenging as FROM software titles but to me it played a lot like Elden Ring with its own unique style and I had a lot of fun with it. I am looking forward to any DLC news for this game in the future. A rare 10/10 experience.",True,
nanasu,60.4,"August 19, 2024",168,※This game does not include Sweet Baby,True,
